timestamp,cpu_percent,cpu_peak,cpu_low,cpu_avg,memory_rss,disk_read_mb,disk_write_mb,disk_read_count,disk_write_count,analysis
2025-02-19 12:34:07,8.3,57.0,0.0,9.64,486.28,0,0.0,37592,39030,"{'CPU Analysis': {'Average CPU Usage': '9.64%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '78.38'}, 'Memory Analysis': {'Current Memory Usage': '486.28 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76622'}, 'General': {'Monitoring Duration': '12.23 seconds', 'Total Samples': '11'}}"
2025-02-19 12:34:08,9.1,57.0,0.0,13.11,486.36,0,0.0,37592,39034,"{'CPU Analysis': {'Average CPU Usage': '13.11%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '91.26'}, 'Memory Analysis': {'Current Memory Usage': '486.36 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76626'}, 'General': {'Monitoring Duration': '13.33 seconds', 'Total Samples': '12'}}"
2025-02-19 12:34:09,0.0,57.0,0.0,9.94,486.36,0,0.0,37592,39036,"{'CPU Analysis': {'Average CPU Usage': '9.94%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '89.0'}, 'Memory Analysis': {'Current Memory Usage': '486.36 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76628'}, 'General': {'Monitoring Duration': '14.44 seconds', 'Total Samples': '13'}}"
2025-02-19 12:34:10,0.0,57.0,0.0,6.61,486.36,0,0.0,37592,39038,"{'CPU Analysis': {'Average CPU Usage': '6.61%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '86.83'}, 'Memory Analysis': {'Current Memory Usage': '486.36 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76630'}, 'General': {'Monitoring Duration': '15.54 seconds', 'Total Samples': '14'}}"
2025-02-19 12:34:11,0.0,57.0,0.0,1.32,486.36,0,0.01,37592,39041,"{'CPU Analysis': {'Average CPU Usage': '1.32%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '84.41'}, 'Memory Analysis': {'Current Memory Usage': '486.36 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.01 MB', 'Total Operations': '76633'}, 'General': {'Monitoring Duration': '16.64 seconds', 'Total Samples': '15'}}"
2025-02-19 12:34:12,9.2,57.0,0.0,1.33,486.36,0,0.11,37592,39045,"{'CPU Analysis': {'Average CPU Usage': '1.33%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '81.38'}, 'Memory Analysis': {'Current Memory Usage': '486.36 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.11 MB', 'Total Operations': '76637'}, 'General': {'Monitoring Duration': '17.74 seconds', 'Total Samples': '16'}}"
2025-02-19 12:34:13,10.0,57.0,0.0,6.67,486.36,0,0.0,37592,39063,"{'CPU Analysis': {'Average CPU Usage': '6.67%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '82.76'}, 'Memory Analysis': {'Current Memory Usage': '486.36 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76655'}, 'General': {'Monitoring Duration': '18.85 seconds', 'Total Samples': '17'}}"
2025-02-19 12:34:14,12.1,57.0,0.0,10.87,486.36,0,0.0,37592,39066,"{'CPU Analysis': {'Average CPU Usage': '10.87%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '78.71'}, 'Memory Analysis': {'Current Memory Usage': '486.36 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76658'}, 'General': {'Monitoring Duration': '19.95 seconds', 'Total Samples': '18'}}"
2025-02-19 12:34:15,13.5,57.0,0.0,12.41,486.36,0,0.0,37592,39068,"{'CPU Analysis': {'Average CPU Usage': '12.41%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '76.23'}, 'Memory Analysis': {'Current Memory Usage': '486.36 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76660'}, 'General': {'Monitoring Duration': '21.05 seconds', 'Total Samples': '19'}}"
2025-02-19 12:34:16,1.7,57.0,0.0,8.31,486.36,0,0.0,37592,39070,"{'CPU Analysis': {'Average CPU Usage': '8.31%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '74.59'}, 'Memory Analysis': {'Current Memory Usage': '486.36 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76662'}, 'General': {'Monitoring Duration': '22.15 seconds', 'Total Samples': '20'}}"
2025-02-19 12:34:18,0.0,57.0,0.0,5.24,486.36,0,0.0,37592,39074,"{'CPU Analysis': {'Average CPU Usage': '5.24%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '73.37'}, 'Memory Analysis': {'Current Memory Usage': '486.36 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76666'}, 'General': {'Monitoring Duration': '23.26 seconds', 'Total Samples': '21'}}"
2025-02-19 12:34:19,0.8,57.0,0.0,2.01,486.42,0,0.0,37592,39088,"{'CPU Analysis': {'Average CPU Usage': '2.01%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '72.24'}, 'Memory Analysis': {'Current Memory Usage': '486.42 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76680'}, 'General': {'Monitoring Duration': '24.36 seconds', 'Total Samples': '22'}}"
2025-02-19 12:34:20,10.7,57.0,0.0,2.82,486.42,0,0.0,37592,39091,"{'CPU Analysis': {'Average CPU Usage': '2.82%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '69.82'}, 'Memory Analysis': {'Current Memory Usage': '486.42 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76683'}, 'General': {'Monitoring Duration': '25.46 seconds', 'Total Samples': '23'}}"
2025-02-19 12:34:21,9.1,57.0,0.0,9.54,486.42,0,0.0,37592,39093,"{'CPU Analysis': {'Average CPU Usage': '9.54%', 'Peak CPU Usage': '57.0%', 'Lowest CPU Usage': '0.0%', 'CPU Usage Variance': '91.03'}, 'Memory Analysis': {'Current Memory Usage': '486.42 MB', 'Peak Memory Usage': '0 MB'}, 'Disk I/O Analysis': {'Current Read': '0 MB', 'Current Write': '0.0 MB', 'Total Operations': '76685'}, 'General': {'Monitoring Duration': '26.56 seconds', 'Total Samples': '24'}}"
