timestamp,cpu_percent,memory_rss,memory_vms,disk_read_mb,disk_write_mb,disk_read_count,disk_write_count
2025-02-18 17:36:45,16.9,477.32421875,2228.29296875,2003.455078125,1348.22265625,61815,46418
2025-02-18 17:36:46,16.0,477.32421875,2228.29296875,2003.455078125,1348.234375,61815,46421
2025-02-18 17:36:47,8.3,477.32421875,2228.29296875,2003.455078125,1348.234375,61815,46421
2025-02-18 17:36:48,80.8,477.32421875,2228.29296875,2003.455078125,1348.27734375,61815,46429
2025-02-18 17:36:49,1.6,477.32421875,2228.29296875,2003.455078125,1348.4296875,61815,46431
2025-02-18 17:36:51,0.0,477.32421875,2228.29296875,2003.455078125,1348.59375,61815,46438
2025-02-18 17:36:52,0.0,477.83203125,2229.29296875,2003.455078125,1348.609375,61815,46442
2025-02-18 17:36:53,6.6,477.83203125,2229.29296875,2003.455078125,1348.609375,61815,46442
2025-02-18 17:36:54,0.0,477.83203125,2229.29296875,2003.455078125,1348.79296875,61815,46454
2025-02-18 17:36:55,10.6,477.83203125,2229.29296875,2003.455078125,1348.79296875,61815,46454
2025-02-18 17:36:56,11.4,478.08984375,2229.29296875,2003.455078125,1349.0234375,61815,46465
2025-02-18 17:36:57,8.3,478.08984375,2229.29296875,2003.455078125,1349.0234375,61815,46465
2025-02-18 17:36:58,8.3,478.08984375,2229.29296875,2003.455078125,1349.0234375,61815,46465
2025-02-18 17:36:59,5.0,478.08984375,2229.29296875,2003.455078125,1349.0234375,61815,46465
2025-02-18 17:37:00,0.0,478.08984375,2229.29296875,2003.455078125,1349.0234375,61815,46465
2025-02-18 17:37:02,0.8,478.08984375,2229.29296875,2003.455078125,1349.13671875,61815,46467
2025-02-18 17:37:03,0.0,478.08984375,2229.29296875,2003.455078125,1349.13671875,61815,46467
2025-02-18 17:37:04,8.3,478.08984375,2229.29296875,2003.455078125,1349.140625,61815,46468
2025-02-18 17:37:05,9.8,478.08984375,2229.29296875,2003.455078125,1349.140625,61815,46468
2025-02-18 17:37:06,9.1,478.08984375,2229.29296875,2003.455078125,1349.140625,61815,46468
2025-02-18 17:37:07,8.3,478.08984375,2229.29296875,2003.455078125,1349.23828125,61815,46470
2025-02-18 17:37:08,0.0,478.08984375,2229.29296875,2003.455078125,1349.23828125,61815,46470
2025-02-18 17:37:09,8.1,478.08984375,2229.29296875,2003.455078125,1349.23828125,61815,46470
2025-02-18 17:37:10,10.6,478.08984375,2229.29296875,2003.455078125,1349.2421875,61815,46471
2025-02-18 17:37:11,10.6,478.08984375,2229.29296875,2003.455078125,1349.3359375,61815,46473
2025-02-18 17:37:13,9.1,478.08984375,2229.29296875,2003.455078125,1349.3359375,61815,46473
2025-02-18 17:37:14,17.6,478.08984375,2229.29296875,2003.455078125,1349.3359375,61815,46473
2025-02-18 17:37:15,0.0,478.08984375,2229.29296875,2003.455078125,1349.3359375,61815,46473
2025-02-18 17:37:16,2.4,478.08984375,2229.29296875,2003.455078125,1349.3359375,61815,46473
2025-02-18 17:37:17,0.0,478.08984375,2229.29296875,2003.455078125,1349.4375,61815,46479
2025-02-18 17:37:18,0.8,478.34765625,2229.29296875,2003.455078125,1349.4765625,61815,46489
2025-02-18 17:37:19,20.3,478.34765625,2229.29296875,2003.455078125,1349.49609375,61815,46494
2025-02-18 17:37:20,9.2,478.60546875,2229.29296875,2003.455078125,1349.515625,61815,46499
2025-02-18 17:37:21,8.3,478.60546875,2229.29296875,2003.455078125,1349.65625,61815,46506
2025-02-18 17:37:23,9.2,478.60546875,2229.29296875,2003.455078125,1349.67578125,61815,46511
2025-02-18 17:37:24,0.0,478.60546875,2229.29296875,2003.455078125,1349.796875,61815,46541
2025-02-18 17:37:25,26.3,478.60546875,2229.29296875,2003.455078125,1349.796875,61815,46541
2025-02-18 17:37:26,0.8,478.60546875,2229.29296875,2003.455078125,1349.796875,61815,46541
2025-02-18 17:37:27,8.3,478.60546875,2229.29296875,2003.455078125,1349.9140625,61815,46544
2025-02-18 17:37:28,9.8,478.60546875,2229.29296875,2003.455078125,1349.9140625,61815,46544
2025-02-18 17:37:29,10.6,478.60546875,2229.29296875,2003.455078125,1349.9140625,61815,46544
2025-02-18 17:37:30,9.2,478.60546875,2229.29296875,2003.455078125,1349.9140625,61815,46544
2025-02-18 17:37:31,0.0,478.60546875,2229.29296875,2003.455078125,1350.05078125,61815,46546
2025-02-18 17:37:32,5.8,478.60546875,2229.29296875,2003.455078125,1350.05078125,61815,46546
2025-02-18 17:37:34,10.1,478.60546875,2229.29296875,2003.455078125,1350.0546875,61815,46547
2025-02-18 17:37:35,8.3,478.60546875,2229.29296875,2003.455078125,1350.0546875,61815,46547
2025-02-18 17:37:36,14.1,478.60546875,2229.29296875,2003.455078125,1350.0546875,61815,46547
2025-02-18 17:37:37,8.3,478.60546875,2229.29296875,2003.455078125,1350.16015625,61815,46549
2025-02-18 17:37:38,0.0,478.60546875,2229.29296875,2003.455078125,1350.16015625,61815,46549
2025-02-18 17:37:39,0.8,478.60546875,2229.29296875,2003.455078125,1350.16015625,61815,46549
2025-02-18 17:37:40,2.5,478.60546875,2229.29296875,2003.455078125,1350.16015625,61815,46549
2025-02-18 17:37:41,8.3,478.60546875,2229.29296875,2003.455078125,1350.25390625,61815,46552
2025-02-18 17:37:42,14.7,478.60546875,2229.29296875,2003.455078125,1350.25390625,61815,46552
2025-02-18 17:37:43,9.8,478.60546875,2229.29296875,2003.455078125,1350.25390625,61815,46552
2025-02-18 17:37:45,8.3,478.60546875,2229.29296875,2003.455078125,1350.25390625,61815,46552
2025-02-18 17:37:46,0.8,478.60546875,2229.29296875,2003.455078125,1350.25390625,61815,46552
2025-02-18 17:37:47,0.0,478.60546875,2229.29296875,2003.455078125,1350.34765625,61815,46554
2025-02-18 17:37:48,8.3,478.60546875,2229.29296875,2003.455078125,1350.3515625,61815,46555
2025-02-18 17:37:49,11.3,478.60546875,2229.29296875,2003.455078125,1350.3515625,61815,46555
2025-02-18 17:37:50,8.3,478.60546875,2229.29296875,2003.455078125,1350.3515625,61815,46555
2025-02-18 17:37:51,13.1,478.60546875,2229.29296875,2003.455078125,1350.51171875,61815,46561
2025-02-18 17:37:52,0.8,478.60546875,2229.29296875,2003.455078125,1350.51953125,61815,46563
2025-02-18 17:37:53,12.2,478.60546875,2229.29296875,2003.455078125,1350.5234375,61815,46564
2025-02-18 17:37:54,0.8,478.60546875,2229.29296875,2003.455078125,1350.53125,61815,46566
2025-02-18 17:37:56,11.4,478.60546875,2229.29296875,2003.455078125,1350.53515625,61815,46567
2025-02-18 17:37:57,12.0,478.86328125,2229.29296875,2003.455078125,1350.66796875,61815,46570
2025-02-18 17:37:58,8.3,478.86328125,2229.29296875,2003.455078125,1350.671875,61815,46571
2025-02-18 17:37:59,8.8,478.86328125,2229.29296875,2003.455078125,1350.7578125,61815,46590
2025-02-18 17:38:00,0.8,478.86328125,2229.29296875,2003.455078125,1350.76171875,61815,46591
2025-02-18 17:38:01,0.0,478.86328125,2229.29296875,2003.455078125,1350.890625,61815,46594
2025-02-18 17:38:02,9.1,478.86328125,2229.29296875,2003.455078125,1350.8984375,61815,46596
2025-02-18 17:38:03,13.4,478.86328125,2229.29296875,2003.455078125,1350.90234375,61815,46597
2025-02-18 17:38:04,8.3,478.86328125,2229.29296875,2003.455078125,1350.91015625,61815,46599
2025-02-18 17:38:06,9.9,478.86328125,2229.29296875,2003.455078125,1350.9140625,61815,46600
2025-02-18 17:38:07,1.6,478.86328125,2229.29296875,2003.455078125,1351.0546875,61815,46603
2025-02-18 17:38:08,0.0,478.86328125,2229.29296875,2003.455078125,1351.05859375,61815,46604
